44622281,Oct/21/2018 10:07,lzk_fighting,225C - Barcode,GNU C++11,Accepted,92 ms,4000 KB,2018-10-21 10:07:00
61342116,Sep/27/2019 02:05,hussein_auf,225C - Barcode,GNU C++11,Accepted,748 ms,0 KB,2019-09-27 02:05:00
61392909,Sep/28/2019 02:15,hussein_auf,225C - Barcode,GNU C++11,Accepted,780 ms,0 KB,2019-09-28 02:15:00
28293797,Jul/05/2017 07:18,vjudge4,225C - Barcode,GNU C++14,Accepted,342 ms,2900 KB,2017-07-05 07:18:00
28293798,Jul/05/2017 07:18,somebody_else,225C - Barcode,GNU C++14,Accepted,312 ms,2900 KB,2017-07-05 07:18:00
37677836,Apr/28/2018 09:45,nanatoday,225C - Barcode,GNU C++11,Accepted,904 ms,3500 KB,2018-04-28 09:45:00
11070694,May/11/2015 16:30,UtopiaBeam,225C - Barcode,GNU C++,Accepted,342 ms,0 KB,2015-05-11 16:30:00
13180831,Sep/23/2015 11:27,Whistle,225C - Barcode,GNU C++,Accepted,342 ms,1300 KB,2015-09-23 11:27:00
51360108,Mar/16/2019 09:49,vjudge1,225C - Barcode,GNU C++14,Accepted,436 ms,1900 KB,2019-03-16 09:49:00
65157031,Nov/16/2019 12:46,encountered,225C - Barcode,GNU C++14,Accepted,404 ms,1000 KB,2019-11-16 12:46:00
48975414,Jan/26/2019 12:17,ylxmf2005awa,225C - Barcode,GNU C++11,Accepted,340 ms,1000 KB,2019-01-26 12:17:00
57931998,Jul/29/2019 12:03,tzc_wk,225C - Barcode,GNU C++11,Accepted,780 ms,1000 KB,2019-07-29 12:03:00
10538595,Apr/01/2015 08:28,achint_mittal,225C - Barcode,GNU C++,Accepted,842 ms,0 KB,2015-04-01 08:28:00
11070702,May/11/2015 16:31,vjudge4,225C - Barcode,GNU C++,Accepted,342 ms,0 KB,2015-05-11 16:31:00
13358905,Oct/03/2015 14:59,woyeshizuile,225C - Barcode,GNU C++,Accepted,342 ms,1200 KB,2015-10-03 14:59:00
55645322,Jun/16/2019 15:06,Yasseenkamel,225C - Barcode,GNU C++11,Accepted,62 ms,1100 KB,2019-06-16 15:06:00
70238126,Feb/04/2020 17:05,raghavjha3311,225C - Barcode,GNU C++17,Accepted,404 ms,0 KB,2020-02-04 17:05:00
