50319871,Feb/22/2019 16:59,luogu_bot2,117C - Cycle,GNU C++11,Accepted,498 ms,24800 KB,2019-02-22 16:59:00
24573684,Feb/10/2017 19:32,amirhossein.sana,117C - Cycle,GNU C++11,Accepted,780 ms,26900 KB,2017-02-10 19:32:00
6026582,Mar/16/2014 15:30,vjudge1,117C - Cycle,GNU C++,Accepted,528 ms,24700 KB,2014-03-16 15:30:00
16071156,Feb/17/2016 15:43,huanghongxun,117C - Cycle,GNU C++11,Accepted,746 ms,98100 KB,2016-02-17 15:43:00
6089484,Mar/20/2014 13:24,vjudge3,117C - Cycle,GNU C++,Accepted,498 ms,24700 KB,2014-03-20 13:24:00
25223707,Mar/04/2017 21:12,Taz,117C - Cycle,GNU C++11,Accepted,654 ms,26900 KB,2017-03-04 21:12:00
721839,Sep/24/2011 12:15,htvu,117C - Cycle,GNU C++,Accepted,530 ms,26100 KB,2011-09-24 12:15:00
43345150,Sep/23/2018 22:58,MCan,117C - Cycle,GNU C++11,Accepted,528 ms,24500 KB,2018-09-23 22:58:00
3406886,Mar/26/2013 11:03,softmob,117C - Cycle,MS C++,Accepted,1156 ms,31300 KB,2013-03-26 11:03:00
29855278,Aug/29/2017 01:35,farukkastamonuda,117C - Cycle,GNU C++14,Accepted,808 ms,144500 KB,2017-08-29 01:35:00
726440,Sep/27/2011 05:12,RetiredKid,117C - Cycle,GNU C++,Accepted,300 ms,25900 KB,2011-09-27 05:12:00
1715664,May/25/2012 17:47,tests,117C - Cycle,GNU C++,Accepted,800 ms,26100 KB,2012-05-25 17:47:00
1967869,Aug/01/2012 14:23,mishidalu,117C - Cycle,GNU C++,Accepted,300 ms,26000 KB,2012-08-01 14:23:00
43589764,Sep/30/2018 02:49,jwk,117C - Cycle,GNU C++17,Accepted,716 ms,25200 KB,2018-09-30 02:49:00
12024572,Jul/13/2015 05:35,fat7y,117C - Cycle,GNU C++,Accepted,654 ms,24700 KB,2015-07-13 05:35:00
16831811,Mar/20/2016 08:37,anshaldwivedi,117C - Cycle,GNU C++,Accepted,654 ms,26800 KB,2016-03-20 08:37:00
37699031,Apr/29/2018 06:31,LJZ_C,117C - Cycle,GNU C++,Accepted,684 ms,28500 KB,2018-04-29 06:31:00
24603463,Feb/12/2017 10:34,PhantomFighter,117C - Cycle,GNU C++11,Accepted,716 ms,27200 KB,2017-02-12 10:34:00
1948824,Jul/29/2012 09:41,nealzane,117C - Cycle,GNU C++,Accepted,590 ms,26700 KB,2012-07-29 09:41:00
37327144,Apr/14/2018 15:29,__Starlight,117C - Cycle,GNU C++,Accepted,560 ms,28300 KB,2018-04-14 15:29:00
62886923,Oct/18/2019 21:44,Mahdivelayatipour,117C - Cycle,GNU C++14,Accepted,2464 ms,3100 KB,2019-10-18 21:44:00
1841944,Jun/29/2012 20:46,Equanimity,117C - Cycle,GNU C++,Accepted,270 ms,26000 KB,2012-06-29 20:46:00
18745856,Jun/27/2016 05:52,harlequin,117C - Cycle,GNU C++11,Accepted,716 ms,24700 KB,2016-06-27 05:52:00
37327238,Apr/14/2018 15:32,__Starlight,117C - Cycle,GNU C++,Accepted,560 ms,28300 KB,2018-04-14 15:32:00
718392,Sep/23/2011 20:48,xujie,117C - Cycle,GNU C++,Accepted,330 ms,26000 KB,2011-09-23 20:48:00
3405344,Mar/25/2013 22:07,vjudge1,117C - Cycle,GNU C++,Accepted,609 ms,24700 KB,2013-03-25 22:07:00
