538023,Jul/09/2011 00:21,LifeMaker,96C - Hockey,Java 6,Accepted,90 ms,42100 KB,2011-07-09 00:21:00
535201,Jul/08/2011 20:16,4nddr3,96C - Hockey,GNU C++,Accepted,50 ms,1400 KB,2011-07-08 20:16:00
537121,Jul/08/2011 21:47,ainta,96C - Hockey,GNU C++,Accepted,30 ms,1400 KB,2011-07-08 21:47:00
537140,Jul/08/2011 21:47,ainta,95A - Hockey,GNU C++,Accepted,30 ms,1400 KB,2011-07-08 21:47:00
25784708,Mar/25/2017 02:07,nkambarbek,96C - Hockey,GNU C++,Accepted,30 ms,2100 KB,2017-03-25 02:07:00
31960022,Nov/01/2017 21:26,vjudge2,95A - Hockey,GNU C++11,Accepted,60 ms,500 KB,2017-11-01 21:26:00
532826,Jul/08/2011 19:17,Komaki,95A - Hockey,GNU C++,Accepted,30 ms,1400 KB,2011-07-08 19:17:00
11007717,May/05/2015 20:28,Fonduee,96C - Hockey,GNU C++11,Accepted,30 ms,0 KB,2015-05-05 20:28:00
533737,Jul/08/2011 19:36,portal,95A - Hockey,GNU C++,Accepted,30 ms,1400 KB,2011-07-08 19:36:00
533219,Jul/08/2011 19:25,Ferlon,95A - Hockey,MS C++,Accepted,30 ms,1400 KB,2011-07-08 19:25:00
533227,Jul/08/2011 19:25,peter50216,95A - Hockey,GNU C++,Accepted,30 ms,1300 KB,2011-07-08 19:25:00
533904,Jul/08/2011 19:40,ankulgarg,96C - Hockey,GNU C++,Accepted,30 ms,1400 KB,2011-07-08 19:40:00
949190,Dec/10/2011 13:00,peter50216,96C - Hockey,GNU C++,Accepted,30 ms,1400 KB,2011-12-10 13:00:00
732410,Jul/08/2011 19:43,roypalacios#,96C - Hockey,GNU C++,Accepted,30 ms,1400 KB,2011-07-08 19:43:00
732452,Oct/01/2011 06:31,roypalacios,95A - Hockey,GNU C++,Accepted,30 ms,1400 KB,2011-10-01 06:31:00
589172,Aug/07/2011 14:25,ATrosinenko,95A - Hockey,GNU C++,Accepted,30 ms,1400 KB,2011-08-07 14:25:00
535589,Jul/08/2011 20:26,opensource,95A - Hockey,GNU C++,Accepted,30 ms,1400 KB,2011-07-08 20:26:00
535608,Jul/08/2011 20:27,imslavko,95A - Hockey,GNU C++,Accepted,30 ms,1400 KB,2011-07-08 20:27:00
537601,Jul/08/2011 22:28,imslavko,96C - Hockey,GNU C++,Accepted,30 ms,1400 KB,2011-07-08 22:28:00
15587962,Jan/26/2016 10:01,vjudge1,95A - Hockey,GNU C++,Accepted,30 ms,0 KB,2016-01-26 10:01:00
544166,Jul/13/2011 14:13,vlad107,96C - Hockey,FPC,Accepted,30 ms,1100 KB,2011-07-13 14:13:00
537094,Jul/08/2011 21:45,vilcheuski,96C - Hockey,FPC,Accepted,30 ms,1000 KB,2011-07-08 21:45:00
538805,Jul/09/2011 10:08,vilcheuski,95A - Hockey,FPC,Accepted,30 ms,1000 KB,2011-07-09 10:08:00
753920,Oct/10/2011 13:23,vjudge5,95A - Hockey,GNU C++,Accepted,30 ms,1400 KB,2011-10-10 13:23:00
533396,Jul/08/2011 19:28,vlad107,95A - Hockey,FPC,Accepted,50 ms,1100 KB,2011-07-08 19:28:00
541535,Jul/11/2011 07:35,ct.Liu,96C - Hockey,GNU C++,Accepted,30 ms,1400 KB,2011-07-11 07:35:00
541539,Jul/11/2011 07:39,ct.Liu,95A - Hockey,GNU C++,Accepted,30 ms,1400 KB,2011-07-11 07:39:00
