918253,Dec/03/2011 14:48,tennisru,134B - Pairs of Numbers,FPC,Accepted,280 ms,1000 KB,2011-12-03 14:48:00
24944716,Feb/23/2017 21:19,WeAreTheFlame,134B - Pairs of Numbers,GNU C++11,Accepted,93 ms,2100 KB,2017-02-23 21:19:00
917635,Dec/03/2011 07:59,lonelycatcher,134B - Pairs of Numbers,GNU C++,Accepted,170 ms,1300 KB,2011-12-03 07:59:00
917746,Dec/03/2011 09:43,alexander-nsk94,134B - Pairs of Numbers,Delphi,Accepted,190 ms,900 KB,2011-12-03 09:43:00
78789770,May/02/2020 09:50,Tamarpeikrishvili,134B - Pairs of Numbers,GNU C++11,Accepted,202 ms,300 KB,2020-05-02 09:50:00
21909340,Oct/31/2016 14:05,Motarack,134B - Pairs of Numbers,GNU C++14,Accepted,93 ms,0 KB,2016-10-31 14:05:00
915792,Dec/02/2011 19:39,radix.ru,134B - Pairs of Numbers,GNU C++,Accepted,80 ms,1400 KB,2011-12-02 19:39:00
932176,Dec/06/2011 06:11,kunkun220189,134B - Pairs of Numbers,GNU C++,Accepted,160 ms,1400 KB,2011-12-06 06:11:00
933283,Dec/06/2011 19:35,simbavn2210,134B - Pairs of Numbers,MS C++,Accepted,160 ms,1400 KB,2011-12-06 19:35:00
916633,Dec/02/2011 20:41,simoncao,134B - Pairs of Numbers,GNU C++,Accepted,170 ms,1400 KB,2011-12-02 20:41:00
915087,Dec/02/2011 19:15,* yakitori,134B - Pairs of Numbers,GNU C++,Accepted,160 ms,1300 KB,2011-12-02 19:15:00
3531833,Apr/14/2013 11:03,RiKang,134B - Pairs of Numbers,MS C++,Accepted,734 ms,6000 KB,2013-04-14 11:03:00
918743,Dec/02/2011 19:55,aminabedi#,134B - Pairs of Numbers,GNU C++,Accepted,340 ms,1400 KB,2011-12-02 19:55:00
53766495,May/05/2019 03:31,bingguo,134B - Pairs of Numbers,GNU C++17,Accepted,124 ms,0 KB,2019-05-05 03:31:00
935270,Dec/08/2011 11:52,paladin8,134B - Pairs of Numbers,GNU C++,Accepted,140 ms,1400 KB,2011-12-08 11:52:00
6583061,May/10/2014 18:44,aliasadiiii,134B - Pairs of Numbers,GNU C++,Accepted,996 ms,15600 KB,2014-05-10 18:44:00
918026,Dec/03/2011 12:45,mruxim,134B - Pairs of Numbers,GNU C++,Accepted,160 ms,1400 KB,2011-12-03 12:45:00
915528,Dec/02/2011 19:29,Cyin,134B - Pairs of Numbers,GNU C++,Accepted,160 ms,1300 KB,2011-12-02 19:29:00
2099752,Sep/06/2012 15:19,Yukar,134B - Pairs of Numbers,GNU C++,Accepted,280 ms,700 KB,2012-09-06 15:19:00
923298,Dec/03/2011 19:49,Thrax,134B - Pairs of Numbers,GNU C++,Accepted,130 ms,1300 KB,2011-12-03 19:49:00
18348484,Jun/10/2016 00:03,zhadizadeh,134B - Pairs of Numbers,GNU C++11,Accepted,421 ms,17700 KB,2016-06-10 00:03:00
932116,Dec/06/2011 03:56,zncanke,134B - Pairs of Numbers,FPC,Accepted,1260 ms,22400 KB,2011-12-06 03:56:00
36124607,Mar/09/2018 20:03,GioChkhaidze,134B - Pairs of Numbers,GNU C++14,Accepted,233 ms,1900 KB,2018-03-09 20:03:00
56960868,Jul/13/2019 09:33,vjudge2,134B - Pairs of Numbers,GNU C++14,Accepted,124 ms,0 KB,2019-07-13 09:33:00
13929848,Oct/29/2015 11:49,alex20030190,134B - Pairs of Numbers,GNU C++,Accepted,93 ms,0 KB,2015-10-29 11:49:00
23023777,Dec/16/2016 10:06,raghav_19,134B - Pairs of Numbers,GNU C++,Accepted,156 ms,0 KB,2016-12-16 10:06:00
48514438,Jan/18/2019 05:24,vjudge5,134B - Pairs of Numbers,GNU C++17,Accepted,234 ms,200 KB,2019-01-18 05:24:00
1351407,Mar/12/2012 15:11,alexander-nsk94,134B - Pairs of Numbers,FPC,Accepted,200 ms,1100 KB,2012-03-12 15:11:00
15713140,Jan/31/2016 18:51,fengsuiyan,134B - Pairs of Numbers,GNU C++11,Accepted,109 ms,0 KB,2016-01-31 18:51:00
57879236,Jul/28/2019 09:59,fzl_194,134B - Pairs of Numbers,GNU C++11,Accepted,109 ms,0 KB,2019-07-28 09:59:00
