71563759,Feb/21/2020 19:40,vijaykalluri,17B - Hierarchy,GNU C++17,Accepted,124 ms,0 KB,2020-02-21 19:40:00
76236138,Apr/11/2020 08:56,vjudge5,17B - Hierarchy,GNU C++17,Accepted,62 ms,0 KB,2020-04-11 08:56:00
75414,Jun/10/2010 19:18,Astein,17B - Hierarchy,GNU C++,Accepted,30 ms,1300 KB,2010-06-10 19:18:00
59846125,Sep/01/2019 12:33,GuptaGaurang,17B - Hierarchy,GNU C++17,Accepted,62 ms,0 KB,2019-09-01 12:33:00
46755329,Dec/08/2018 14:24,Abdallah_Elshinbary,17B - Hierarchy,GNU C++11,Accepted,124 ms,200 KB,2018-12-08 14:24:00
15450265,Jan/20/2016 11:22,ACstar,17B - Hierarchy,GNU C++,Accepted,30 ms,0 KB,2016-01-20 11:22:00
73810312,Mar/20/2020 19:22,CaiJiZXY,17B - Hierarchy,GNU C++11,Accepted,156 ms,100 KB,2020-03-20 19:22:00
8883531,Nov/29/2014 00:53,onetwothree,17B - Hierarchy,GNU C++0x,Accepted,342 ms,0 KB,2014-11-29 00:53:00
48592597,Jan/20/2019 06:55,haizhe,17B - Hierarchy,GNU C++14,Accepted,92 ms,0 KB,2019-01-20 06:55:00
2674367,Nov/28/2012 22:15,mhadih,17B - Hierarchy,MS C++,Accepted,78 ms,200 KB,2012-11-28 22:15:00
73851227,Mar/21/2020 07:46,hungry_penguin,17B - Hierarchy,GNU C++14,Accepted,92 ms,500 KB,2020-03-21 07:46:00
73925548,Mar/22/2020 04:25,vjudge5,17B - Hierarchy,GNU C++17,Accepted,122 ms,500 KB,2020-03-22 04:25:00
79216,Jul/09/2010 13:40,ikatanic,17B - Hierarchy,GNU C++,Accepted,50 ms,1300 KB,2010-07-09 13:40:00
55944436,Jun/22/2019 21:44,bigdamnhero,17B - Hierarchy,GNU C++14,Accepted,92 ms,0 KB,2019-06-22 21:44:00
73843133,Mar/21/2020 03:46,vjudge5,17B - Hierarchy,GNU C++17,Accepted,124 ms,500 KB,2020-03-21 03:46:00
2956852,Jan/18/2013 18:53,lzn,17B - Hierarchy,GNU C++,Accepted,46 ms,0 KB,2013-01-18 18:53:00
75494,Jun/10/2010 19:21,Commandos,17B - Hierarchy,MS C++,Accepted,60 ms,1300 KB,2010-06-10 19:21:00
74115320,Mar/23/2020 19:16,shangtai,17B - Hierarchy,Python 3,Accepted,280 ms,1300 KB,2020-03-23 19:16:00
57385286,Jul/20/2019 18:30,Xapient,17B - Hierarchy,GNU C++11,Accepted,62 ms,0 KB,2019-07-20 18:30:00
20824933,Sep/22/2016 21:51,dr-solver,17B - Hierarchy,GNU C++11,Accepted,92 ms,0 KB,2016-09-22 21:51:00
74917158,Mar/31/2020 14:43,vjudge3,17B - Hierarchy,GNU C++14,Accepted,62 ms,0 KB,2020-03-31 14:43:00
38832321,Jun/01/2018 17:08,yash0510,17B - Hierarchy,GNU C++14,Accepted,122 ms,3300 KB,2018-06-01 17:08:00
58947077,Aug/17/2019 12:28,azidoazideazide,17B - Hierarchy,GNU C++14,Accepted,92 ms,0 KB,2019-08-17 12:28:00
25181642,Mar/03/2017 19:43,hpfdf#,17B - Hierarchy,GNU C++11,Accepted,30 ms,2100 KB,2017-03-03 19:43:00
70766700,Feb/11/2020 08:10,vjudge5,17B - Hierarchy,GNU C++17,Accepted,62 ms,0 KB,2020-02-11 08:10:00
1837345,Jun/29/2012 09:16,amir.h,17B - Hierarchy,GNU C++,Accepted,50 ms,1500 KB,2012-06-29 09:16:00
28587626,Jul/16/2017 08:25,mohit28rawat,17B - Hierarchy,GNU C++14,Accepted,92 ms,1900 KB,2017-07-16 08:25:00
49998452,Feb/16/2019 19:11,mohnnad,17B - Hierarchy,GNU C++17,Accepted,62 ms,0 KB,2019-02-16 19:11:00
44277788,Oct/14/2018 03:15,luogu_bot2,17B - Hierarchy,GNU C++11,Accepted,62 ms,600 KB,2018-10-14 03:15:00
1029298,Jan/11/2012 14:27,vladis,17B - Hierarchy,FPC,Accepted,50 ms,1000 KB,2012-01-11 14:27:00
22372164,Nov/20/2016 22:48,FirstSubmission,17B - Hierarchy,GNU C++14,Accepted,60 ms,0 KB,2016-11-20 22:48:00
54871268,May/31/2019 12:23,TO_OO_InBlue,17B - Hierarchy,GNU C++17,Accepted,92 ms,3900 KB,2019-05-31 12:23:00
2681950,Nov/30/2012 23:07,numitus,17B - Hierarchy,MS C++,Accepted,31 ms,100 KB,2012-11-30 23:07:00
21963848,Nov/01/2016 13:31,Joker1010123,17B - Hierarchy,GNU C++,Accepted,154 ms,0 KB,2016-11-01 13:31:00
5810623,Jan/26/2014 09:38,Blue_Sky.,17B - Hierarchy,GNU C++,Accepted,30 ms,0 KB,2014-01-26 09:38:00
30178881,Sep/07/2017 13:54,Kideri,17B - Hierarchy,GNU C++14,Accepted,92 ms,15700 KB,2017-09-07 13:54:00
55601719,Jun/15/2019 21:51,sokolovivan,17B - Hierarchy,GNU C++11,Accepted,122 ms,0 KB,2019-06-15 21:51:00
70766713,Feb/11/2020 08:10,MGS763,17B - Hierarchy,GNU C++17,Accepted,62 ms,0 KB,2020-02-11 08:10:00
76236592,Apr/11/2020 09:04,vjudge2,17B - Hierarchy,Clang++17 Diagnostics,Accepted,310 ms,0 KB,2020-04-11 09:04:00
78609,Jun/11/2010 23:09,xydinesh,17B - Hierarchy,Python 2,Accepted,110 ms,2900 KB,2010-06-11 23:09:00
16687509,Mar/13/2016 10:46,JinXian,17B - Hierarchy,GNU C++,Accepted,124 ms,0 KB,2016-03-13 10:46:00
53007774,Apr/19/2019 13:28,abhirock753,17B - Hierarchy,GNU C++14,Accepted,122 ms,600 KB,2019-04-19 13:28:00
9388530,Jan/08/2015 21:50,andreyrmg,17B - Hierarchy,GNU C++0x,Accepted,60 ms,200 KB,2015-01-08 21:50:00
80249853,May/15/2020 20:32,Harshal_IITG,17B - Hierarchy,GNU C++17,Accepted,62 ms,3800 KB,2020-05-15 20:32:00
51551218,Mar/20/2019 03:50,ivan100sic,17B - Hierarchy,GNU C++17,Accepted,62 ms,0 KB,2019-03-20 03:50:00
