60749500,Sep/18/2019 08:11,luogu_bot4,235B - Let's Play Osu!,GNU C++11,Accepted,156 ms,2200 KB,2019-09-18 08:11:00
2397997,Oct/21/2012 11:37,liouzhou_101,235B - Let's Play Osu!,GNU C++,Accepted,156 ms,0 KB,2012-10-21 11:37:00
61208156,Sep/24/2019 13:32,oldherd,235B - Let's Play Osu!,GNU C++11,Accepted,122 ms,0 KB,2019-09-24 13:32:00
64631968,Nov/10/2019 13:27,luogu_bot1,235B - Let's Play Osu!,GNU C++11,Accepted,124 ms,2200 KB,2019-11-10 13:27:00
64722618,Nov/12/2019 07:48,luogu_bot2,235B - Let's Play Osu!,GNU C++11,Accepted,124 ms,2200 KB,2019-11-12 07:48:00
2396720,Oct/21/2012 11:21,xlk,235B - Let's Play Osu!,GNU C++,Accepted,156 ms,800 KB,2012-10-21 11:21:00
2400756,Oct/21/2012 12:21,dhh1995,235B - Let's Play Osu!,GNU C++,Accepted,171 ms,1500 KB,2012-10-21 12:21:00
2406672,Oct/22/2012 08:33,Samsara,235B - Let's Play Osu!,GNU C++,Accepted,140 ms,0 KB,2012-10-22 08:33:00
2415848,Oct/23/2012 09:42,lyy,235B - Let's Play Osu!,GNU C++,Accepted,156 ms,0 KB,2012-10-23 09:42:00
2417541,Oct/23/2012 17:05,mxalbert1996,236D - Let's Play Osu!,FPC,Accepted,46 ms,800 KB,2012-10-23 17:05:00
2401976,Oct/21/2012 12:49,XilinX,235B - Let's Play Osu!,MS C++,Accepted,125 ms,800 KB,2012-10-21 12:49:00
2683448,Dec/01/2012 15:08,Master_Prog,235B - Let's Play Osu!,GNU C++,Accepted,156 ms,800 KB,2012-12-01 15:08:00
13951322,Oct/30/2015 14:45,huanghongxun,235B - Let's Play Osu!,GNU C++,Accepted,122 ms,0 KB,2015-10-30 14:45:00
25076485,Feb/27/2017 15:10,vjudge3,236D - Let's Play Osu!,GNU C++,Accepted,92 ms,2000 KB,2017-02-27 15:10:00
61350296,Sep/27/2019 10:44,Karnage,235B - Let's Play Osu!,GNU C++11,Accepted,124 ms,0 KB,2019-09-27 10:44:00
64181461,Nov/04/2019 04:08,luogu_bot3,235B - Let's Play Osu!,GNU C++11,Accepted,124 ms,2400 KB,2019-11-04 04:08:00
2409124,Oct/22/2012 18:24,y.kemaev,235B - Let's Play Osu!,FPC,Accepted,46 ms,5900 KB,2012-10-22 18:24:00
2633070,Nov/23/2012 18:53,zhj,235B - Let's Play Osu!,GNU C++,Accepted,156 ms,1900 KB,2012-11-23 18:53:00
