545893,Jul/15/2011 10:17,Komaki,74B - Train,GNU C++,Accepted,30 ms,1400 KB,2011-07-15 10:17:00
392077,Apr/15/2011 20:36,zimbabwe,74B - Train,Delphi,Accepted,30 ms,900 KB,2011-04-15 20:36:00
390394,Apr/15/2011 19:32,y3eadgbe,74B - Train,GNU C++,Accepted,30 ms,1400 KB,2011-04-15 19:32:00
5486520,Dec/21/2013 15:09,Abdullah_Abdullah,74B - Train,GNU C++,Accepted,30 ms,0 KB,2013-12-21 15:09:00
1030702,Jan/12/2012 12:34,M03G11,74B - Train,FPC,Accepted,30 ms,1000 KB,2012-01-12 12:34:00
1801322,Jun/13/2012 22:55,pedro,74B - Train,GNU C++,Accepted,30 ms,1400 KB,2012-06-13 22:55:00
6640269,May/17/2014 09:21,vjudge1,74B - Train,GNU C++,Accepted,30 ms,0 KB,2014-05-17 09:21:00
6640264,May/17/2014 09:19,vjudge3,74B - Train,GNU C++,Accepted,30 ms,0 KB,2014-05-17 09:19:00
3149563,Feb/20/2013 11:59,takaramono,74B - Train,GNU C++,Accepted,15 ms,0 KB,2013-02-20 11:59:00
9374157,Jan/06/2015 19:36,vjudge3,74B - Train,GNU C++,Accepted,30 ms,0 KB,2015-01-06 19:36:00
4232715,Aug/05/2013 14:35,hasselli#,74B - Train,GNU C++,Accepted,30 ms,0 KB,2013-08-05 14:35:00
390381,Apr/15/2011 19:31,yuzeming,74B - Train,GNU C++,Accepted,30 ms,1400 KB,2011-04-15 19:31:00
390438,Apr/15/2011 19:33,KrK,74B - Train,GNU C++,Accepted,30 ms,1400 KB,2011-04-15 19:33:00
23613486,Jan/07/2017 00:46,Ali.Pi,74B - Train,GNU C++14,Accepted,30 ms,1900 KB,2017-01-07 00:46:00
56760184,Jul/09/2019 18:32,luogu_bot3,74B - Train,GNU C++11,Accepted,62 ms,0 KB,2019-07-09 18:32:00
68741334,Jan/14/2020 04:22,run_time_terror,74B - Train,GNU C++17,Accepted,62 ms,0 KB,2020-01-14 04:22:00
392109,Apr/15/2011 20:37,wzh22014,74B - Train,MS C++,Accepted,30 ms,1400 KB,2011-04-15 20:37:00
11564434,Jun/13/2015 10:19,mrxy56,74B - Train,GNU C++,Accepted,60 ms,0 KB,2015-06-13 10:19:00
56760210,Jul/09/2019 18:32,Alan.Turing,74B - Train,GNU C++14,Accepted,62 ms,0 KB,2019-07-09 18:32:00
390526,Apr/15/2011 19:36,lxyxynt,74B - Train,GNU C++,Accepted,30 ms,1400 KB,2011-04-15 19:36:00
781996,Oct/18/2011 19:21,shinian,74B - Train,GNU C++,Accepted,30 ms,1300 KB,2011-10-18 19:21:00
395972,Apr/18/2011 23:13,NSV,74B - Train,MS C++,Accepted,30 ms,1400 KB,2011-04-18 23:13:00
57121110,Jul/16/2019 04:11,vjudge1,74B - Train,MS C++,Accepted,62 ms,0 KB,2019-07-16 04:11:00
14200096,Nov/11/2015 20:59,step_by_step,74B - Train,Python 3,Accepted,124 ms,100 KB,2015-11-11 20:59:00
691085,Sep/12/2011 17:12,vjudge1,74B - Train,GNU C++,Accepted,30 ms,1400 KB,2011-09-12 17:12:00
390725,Apr/15/2011 19:42,mouse,74B - Train,MS C++,Accepted,30 ms,1400 KB,2011-04-15 19:42:00
392330,Apr/15/2011 20:48,StarMine,74B - Train,MS C++,Accepted,30 ms,1400 KB,2011-04-15 20:48:00
393510,Apr/16/2011 06:54,acm1,74B - Train,MS C++,Accepted,30 ms,1400 KB,2011-04-16 06:54:00
391975,Apr/15/2011 20:32,kaushik.mv3,74B - Train,GNU C++,Accepted,30 ms,1400 KB,2011-04-15 20:32:00
390283,Apr/15/2011 19:29,sapalskimichal,74B - Train,Python 2,Accepted,60 ms,2800 KB,2011-04-15 19:29:00
40526185,Jul/18/2018 23:53,agat00,74B - Train,Node.js,Accepted,280 ms,200 KB,2018-07-18 23:53:00
422316,May/02/2011 20:50,Mazeev,74B - Train,Delphi,Accepted,30 ms,800 KB,2011-05-02 20:50:00
466027,May/22/2011 15:23,moondy,74B - Train,MS C++,Accepted,30 ms,1400 KB,2011-05-22 15:23:00
390220,Apr/15/2011 19:27,krhgg,74B - Train,MS C++,Accepted,30 ms,1400 KB,2011-04-15 19:27:00
605170,Aug/13/2011 17:50,Dunaril,74B - Train,Java 6,Accepted,110 ms,34400 KB,2011-08-13 17:50:00
390567,Apr/15/2011 19:37,yakitori,74B - Train,GNU C++,Accepted,30 ms,1300 KB,2011-04-15 19:37:00
564055,Jul/24/2011 21:14,Sayakiss,74B - Train,GNU C++,Accepted,30 ms,1300 KB,2011-07-24 21:14:00
466045,May/22/2011 15:45,t__nt,74B - Train,MS C++,Accepted,30 ms,1400 KB,2011-05-22 15:45:00
