1076798,Jan/18/2012 19:23,zerotrac,144B - Meeting,FPC,Accepted,140 ms,1000 KB,2012-01-18 19:23:00
1077294,Jan/18/2012 19:30,salikhov_ayaz,144B - Meeting,Delphi,Accepted,50 ms,1000 KB,2012-01-18 19:30:00
44311909,Oct/14/2018 14:43,vjudge1,144B - Meeting,GNU C++17,Accepted,62 ms,100 KB,2018-10-14 14:43:00
1077506,Jan/18/2012 19:33,OVR,144B - Meeting,FPC,Accepted,80 ms,1000 KB,2012-01-18 19:33:00
61093582,Sep/23/2019 03:34,kaiboy,144B - Meeting,GNU C11,Accepted,62 ms,0 KB,2019-09-23 03:34:00
46642832,Dec/05/2018 13:43,HarlequinCrest,144B - Meeting,GNU C++17,Accepted,716 ms,400 KB,2018-12-05 13:43:00
4360553,Aug/28/2013 12:10,proflaurian,144B - Meeting,GNU C++,Accepted,62 ms,0 KB,2013-08-28 12:10:00
55223562,Jun/07/2019 00:59,Psionicist,144B - Meeting,GNU C++17,Accepted,1902 ms,500 KB,2019-06-07 00:59:00
1100746,Jan/22/2012 00:50,tsotne,144B - Meeting,GNU C++,Accepted,30 ms,1400 KB,2012-01-22 00:50:00
1235722,Feb/26/2012 08:15,shinian,144B - Meeting,GNU C++,Accepted,30 ms,1400 KB,2012-02-26 08:15:00
30573157,Sep/21/2017 12:58,AMnu,144B - Meeting,GNU C++14,Accepted,30 ms,0 KB,2017-09-21 12:58:00
42778461,Sep/11/2018 22:07,MuhammadAl-Halaby,144B - Meeting,GNU C++17,Accepted,92 ms,200 KB,2018-09-11 22:07:00
1082171,Jan/18/2012 21:41,Stratonov,144B - Meeting,FPC,Accepted,250 ms,1000 KB,2012-01-18 21:41:00
1082222,Jan/18/2012 21:44,Omelianenko,144B - Meeting,FPC,Accepted,250 ms,1000 KB,2012-01-18 21:44:00
48312258,Jan/13/2019 06:27,RasMalai,144B - Meeting,PyPy 3,Accepted,1994 ms,2100 KB,2019-01-13 06:27:00
57621933,Jul/24/2019 08:15,MAD_ROBO,144B - Meeting,GNU C++14,Accepted,92 ms,0 KB,2019-07-24 08:15:00
75467963,Apr/04/2020 11:33,vjudge2,144B - Meeting,GNU C++14,Accepted,62 ms,100 KB,2020-04-04 11:33:00
1079336,Jan/18/2012 20:06,lastassassin,144B - Meeting,FPC,Accepted,220 ms,5900 KB,2012-01-18 20:06:00
