59820061,Aug/31/2019 19:58,Sali_adelkhah,779B - Weird Rounding,GNU C++17,Accepted,31 ms,0 KB,2019-08-31 19:58:00
25036675,Feb/26/2017 11:32,BIGCHENG,779B - Weird Rounding,Python 2,Accepted,46 ms,4500 KB,2017-02-26 11:32:00
25464468,Mar/14/2017 04:51,Leti,779B - Weird Rounding,Python 2,Accepted,46 ms,4600 KB,2017-03-14 04:51:00
25042763,Feb/26/2017 12:09,mi_nd,779B - Weird Rounding,FPC,Accepted,15 ms,1600 KB,2017-02-26 12:09:00
50552797,Feb/27/2019 08:57,asmik#,779B - Weird Rounding,GNU C++11,Accepted,31 ms,0 KB,2019-02-27 08:57:00
25050895,Feb/26/2017 14:16,hitman623,779B - Weird Rounding,GNU C++14,Accepted,15 ms,1900 KB,2017-02-26 14:16:00
25136536,Mar/02/2017 00:37,Daliazahran,779B - Weird Rounding,Python 2,Accepted,62 ms,4500 KB,2017-03-02 00:37:00
25394744,Mar/11/2017 09:20,aya_elymany#,779B - Weird Rounding,GNU C++11,Accepted,15 ms,2000 KB,2017-03-11 09:20:00
25039502,Feb/26/2017 11:46,surajkumar6424,779B - Weird Rounding,GNU C++14,Accepted,15 ms,1900 KB,2017-02-26 11:46:00
28316150,Jul/06/2017 07:44,XORier,779B - Weird Rounding,GNU C++14,Accepted,15 ms,1900 KB,2017-07-06 07:44:00
