52753197,Apr/14/2019 18:14,luogu_bot3,777B - Game of Credit Cards,GNU C++11,Accepted,31 ms,400 KB,2019-04-14 18:14:00
43263240,Sep/22/2018 18:26,soumyasarkar1998,777B - Game of Credit Cards,PyPy 2,Accepted,140 ms,0 KB,2018-09-22 18:26:00
50554758,Feb/27/2019 10:16,luogu_bot5,777B - Game of Credit Cards,GNU C++11,Accepted,31 ms,0 KB,2019-02-27 10:16:00
51697060,Mar/22/2019 18:34,kiana22,777B - Game of Credit Cards,GNU C++14,Accepted,31 ms,0 KB,2019-03-22 18:34:00
24985574,Feb/24/2017 17:45,lin5597,777B - Game of Credit Cards,GNU C++11,Accepted,15 ms,2000 KB,2017-02-24 17:45:00
25015430,Feb/25/2017 17:40,pengwill#,777B - Game of Credit Cards,GNU C++,Accepted,15 ms,2000 KB,2017-02-25 17:40:00
29593331,Aug/19/2017 11:44,minhhoang97124,777B - Game of Credit Cards,GNU C++,Accepted,15 ms,0 KB,2017-08-19 11:44:00
40058022,Jul/07/2018 13:22,micutu,777B - Game of Credit Cards,GNU C++,Accepted,31 ms,0 KB,2018-07-07 13:22:00
40781145,Jul/26/2018 16:51,orailly,777B - Game of Credit Cards,Python 3,Accepted,124 ms,0 KB,2018-07-26 16:51:00
52997083,Apr/19/2019 07:44,luogu_bot3,777B - Game of Credit Cards,GNU C++11,Accepted,31 ms,0 KB,2019-04-19 07:44:00
51218618,Mar/12/2019 14:37,imabhishek,777B - Game of Credit Cards,GNU C++14,Accepted,31 ms,0 KB,2019-03-12 14:37:00
56411907,Jul/02/2019 03:59,STEE,777B - Game of Credit Cards,GNU C++11,Accepted,31 ms,0 KB,2019-07-02 03:59:00
24984234,Feb/24/2017 17:04,nreshtpushpan,777B - Game of Credit Cards,GNU C++14,Accepted,15 ms,1900 KB,2017-02-24 17:04:00
43292938,Sep/23/2018 14:47,st97,777B - Game of Credit Cards,GNU C++11,Accepted,31 ms,0 KB,2018-09-23 14:47:00
55648064,Jun/16/2019 16:10,Krito,777B - Game of Credit Cards,GNU C++11,Accepted,31 ms,0 KB,2019-06-16 16:10:00
48606255,Jan/20/2019 14:04,tusharagarwal0,777B - Game of Credit Cards,GNU C++14,Accepted,31 ms,0 KB,2019-01-20 14:04:00
57449659,Jul/21/2019 12:19,kingscanf,777B - Game of Credit Cards,GNU C++11,Accepted,31 ms,0 KB,2019-07-21 12:19:00
59856408,Sep/01/2019 16:43,rajeev011yadav,777B - Game of Credit Cards,GNU C++17,Accepted,31 ms,0 KB,2019-09-01 16:43:00
24964759,Feb/24/2017 13:28,baluteshih,777B - Game of Credit Cards,GNU C++14,Accepted,15 ms,1900 KB,2017-02-24 13:28:00
29593256,Aug/19/2017 11:41,channhoibong412,777B - Game of Credit Cards,GNU C++,Accepted,15 ms,0 KB,2017-08-19 11:41:00
25161586,Mar/03/2017 05:33,Ghost_lzp,777B - Game of Credit Cards,GNU C++11,Accepted,15 ms,2000 KB,2017-03-03 05:33:00
46136645,Nov/24/2018 09:15,luogu_bot1,777B - Game of Credit Cards,GNU C++11,Accepted,31 ms,200 KB,2018-11-24 09:15:00
52022757,Mar/30/2019 16:29,nirui,777B - Game of Credit Cards,GNU C++11,Accepted,31 ms,0 KB,2019-03-30 16:29:00
