49127505,Jan/29/2019 03:59,chenmingyu,613B - Skills,GNU C++11,Accepted,78 ms,2000 KB,2019-01-29 03:59:00
36071077,Mar/08/2018 15:46,bojverdict2,613B - Skills,GNU C++11,Accepted,78 ms,5200 KB,2018-03-08 15:46:00
53283543,Apr/25/2019 15:59,2016smy,613B - Skills,GNU C++11,Accepted,156 ms,3100 KB,2019-04-25 15:59:00
28679667,Jul/19/2017 02:04,regmsif,614D - Skills,GNU C++14,Accepted,295 ms,5000 KB,2017-07-19 02:04:00
28679673,Jul/19/2017 02:04,regmsif,614D - Skills,GNU C++14,Accepted,280 ms,5000 KB,2017-07-19 02:04:00
29958377,Aug/31/2017 23:12,bvd#,613B - Skills,GNU C++14,Accepted,312 ms,2400 KB,2017-08-31 23:12:00
16380114,Feb/27/2016 14:05,"Chaos Slovers: 140142, LLX, 20140355#",613B - Skills,GNU C++11,Accepted,171 ms,3300 KB,2016-02-27 14:05:00
28625110,Jul/17/2017 06:29,vjudge5,614D - Skills,GNU C++,Accepted,109 ms,4200 KB,2017-07-17 06:29:00
70341468,Feb/05/2020 11:32,orzccz,614D - Skills,GNU C++11,Accepted,186 ms,39000 KB,2020-02-05 11:32:00
50101281,Feb/18/2019 18:02,vjudge4,613B - Skills,GNU C++14,Accepted,186 ms,3900 KB,2019-02-18 18:02:00
15366781,Jan/14/2016 20:58,catupper,613B - Skills,GNU C++,Accepted,358 ms,4200 KB,2016-01-14 20:58:00
22190229,Nov/13/2016 12:45,EnjoyYourLife,613B - Skills,GNU C++,Accepted,93 ms,2400 KB,2016-11-13 12:45:00
