37295997,Apr/13/2018 22:07,sasasagagaga,961A - Tetris,Python 2,Accepted,124 ms,5900 KB,2018-04-13 22:07:00
36952351,Apr/04/2018 17:08,Savit_Gupta,961A - Tetris,Python 3,Accepted,93 ms,6900 KB,2018-04-04 17:08:00
36973536,Apr/04/2018 18:57,bigesion,961A - Tetris,Python 3,Accepted,93 ms,6900 KB,2018-04-04 18:57:00
53386186,Apr/27/2019 06:42,luogu_bot2,961A - Tetris,GNU C++11,Accepted,31 ms,0 KB,2019-04-27 06:42:00
36953604,Apr/04/2018 17:12,sergovoy,961A - Tetris,Python 3,Accepted,93 ms,7200 KB,2018-04-04 17:12:00
46974874,Dec/13/2018 18:57,vjudge5,961A - Tetris,Python 3,Accepted,109 ms,0 KB,2018-12-13 18:57:00
36952735,Apr/04/2018 17:09,chiefsan,961A - Tetris,Python 3,Accepted,93 ms,7300 KB,2018-04-04 17:09:00
68770352,Jan/14/2020 14:37,vjudge3,961A - Tetris,PyPy 2,Accepted,139 ms,200 KB,2020-01-14 14:37:00
48983107,Jan/26/2019 14:12,mikeokin,961A - Tetris,Python 3,Accepted,109 ms,0 KB,2019-01-26 14:12:00
68471009,Jan/10/2020 04:38,mola.mola,961A - Tetris,PyPy 3,Accepted,156 ms,0 KB,2020-01-10 04:38:00
36953506,Apr/04/2018 17:12,Soul_Silver,961A - Tetris,PyPy 2,Accepted,93 ms,22400 KB,2018-04-04 17:12:00
37021325,Apr/06/2018 15:55,artem_svl,961A - Tetris,Python 3,Accepted,93 ms,6900 KB,2018-04-06 15:55:00
51257017,Mar/13/2019 14:44,tungaqhd,961A - Tetris,Python 3,Accepted,124 ms,0 KB,2019-03-13 14:44:00
36954369,Apr/04/2018 17:14,badrinarayan.sarma,961A - Tetris,Python 3,Accepted,93 ms,6900 KB,2018-04-04 17:14:00
36954676,Apr/04/2018 17:15,itsron143,961A - Tetris,Python 3,Accepted,78 ms,6900 KB,2018-04-04 17:15:00
37007343,Apr/05/2018 23:36,flyingtaco42,961A - Tetris,Python 2,Accepted,93 ms,6000 KB,2018-04-05 23:36:00
37079482,Apr/07/2018 21:47,Hayruni,961A - Tetris,Python 3,Accepted,93 ms,6900 KB,2018-04-07 21:47:00
36956666,Apr/04/2018 17:22,MSteine,961A - Tetris,Python 3,Accepted,93 ms,6900 KB,2018-04-04 17:22:00
37684964,Apr/28/2018 15:13,AndrewOvchinnikov#,961A - Tetris,Python 3,Accepted,93 ms,7100 KB,2018-04-28 15:13:00
38484225,May/21/2018 16:14,kilotaras,961A - Tetris,Python 3,Accepted,93 ms,500 KB,2018-05-21 16:14:00
40324188,Jul/14/2018 17:42,luogu_bot5,961A - Tetris,GNU C++,Accepted,31 ms,0 KB,2018-07-14 17:42:00
48065701,Jan/07/2019 20:59,Mtaylor,961A - Tetris,Python 3,Accepted,109 ms,300 KB,2019-01-07 20:59:00
36955850,Apr/04/2018 17:19,PerplexingPegasus,961A - Tetris,Ruby,Accepted,124 ms,6300 KB,2018-04-04 17:19:00
50082319,Feb/18/2019 08:13,ZeDikuZzz,961A - Tetris,Python 3,Accepted,108 ms,0 KB,2019-02-18 08:13:00
58533529,Aug/10/2019 13:45,garg11,961A - Tetris,Python 3,Accepted,140 ms,0 KB,2019-08-10 13:45:00
36991636,Apr/05/2018 11:08,kannappan,961A - Tetris,Python 3,Accepted,108 ms,7300 KB,2018-04-05 11:08:00
51961059,Mar/29/2019 09:49,shubhamz950,961A - Tetris,Python 3,Accepted,108 ms,0 KB,2019-03-29 09:49:00
36952258,Apr/04/2018 17:08,BigDen,961A - Tetris,Python 3,Accepted,78 ms,6900 KB,2018-04-04 17:08:00
37119851,Apr/09/2018 14:23,K.Adem,961A - Tetris,Python 3,Accepted,93 ms,6900 KB,2018-04-09 14:23:00
37708515,Apr/29/2018 15:58,nikac124,961A - Tetris,GNU C++14,Accepted,15 ms,3300 KB,2018-04-29 15:58:00
39772086,Jun/29/2018 18:24,Nafis_Sajid,961A - Tetris,GNU C++14,Accepted,15 ms,0 KB,2018-06-29 18:24:00
