24028927,Jan/22/2017 14:11,Voudy,755D - PolandBall and Polygon,GNU C++14,Accepted,374 ms,1900 KB,2017-01-22 14:11:00
31565666,Oct/21/2017 13:26,vjudge4,755D - PolandBall and Polygon,GNU C++14,Accepted,327 ms,1900 KB,2017-10-21 13:26:00
23858938,Jan/15/2017 21:03,BAPEGKA,755D - PolandBall and Polygon,GNU C++14,Accepted,374 ms,1900 KB,2017-01-15 21:03:00
23867650,Jan/15/2017 23:09,bas,755D - PolandBall and Polygon,GNU C++11,Accepted,717 ms,2000 KB,2017-01-15 23:09:00
24897081,Feb/22/2017 18:55,tonthatvinh,755D - PolandBall and Polygon,GNU C++11,Accepted,857 ms,2100 KB,2017-02-22 18:55:00
26820336,May/03/2017 17:12,nanae1914,755D - PolandBall and Polygon,Python 3,Accepted,2761 ms,40300 KB,2017-05-03 17:12:00
26820486,May/03/2017 17:23,nanae1914,755D - PolandBall and Polygon,PyPy 3,Accepted,2152 ms,132600 KB,2017-05-03 17:23:00
23879181,Jan/16/2017 13:18,TheCourier,755D - PolandBall and Polygon,GNU C++11,Accepted,389 ms,2000 KB,2017-01-16 13:18:00
23852825,Jan/15/2017 20:29,hojoon0205,755D - PolandBall and Polygon,GNU C++14,Accepted,358 ms,17500 KB,2017-01-15 20:29:00
23867686,Jan/15/2017 23:10,bas,755D - PolandBall and Polygon,GNU C++11,Accepted,327 ms,2000 KB,2017-01-15 23:10:00
23867717,Jan/15/2017 23:11,bas,755D - PolandBall and Polygon,GNU C++14,Accepted,311 ms,1900 KB,2017-01-15 23:11:00
23945711,Jan/19/2017 16:52,bzh#,755D - PolandBall and Polygon,FPC,Accepted,2043 ms,1600 KB,2017-01-19 16:52:00
23877812,Jan/16/2017 11:57,hasbeendeleted,755D - PolandBall and Polygon,GNU C++14,Accepted,374 ms,1900 KB,2017-01-16 11:57:00
55706009,Jun/18/2019 10:34,Ada.Grad.Shil,755D - PolandBall and Polygon,GNU C++14,Accepted,327 ms,0 KB,2019-06-18 10:34:00
23866015,Jan/15/2017 22:38,BitMaster64,755D - PolandBall and Polygon,GNU C++11,Accepted,670 ms,2000 KB,2017-01-15 22:38:00
23867226,Jan/15/2017 22:57,Aleen1,755D - PolandBall and Polygon,GNU C++11,Accepted,670 ms,2000 KB,2017-01-15 22:57:00
23867264,Jan/15/2017 22:58,jaehoj,755D - PolandBall and Polygon,GNU C++,Accepted,670 ms,2000 KB,2017-01-15 22:58:00
