31454395,Oct/17/2017 18:47,Kyurem1001,876F - High Cry,GNU C++,Accepted,62 ms,5000 KB,2017-10-17 18:47:00
31446142,Oct/17/2017 14:24,KMAASZRAA,876F - High Cry,GNU C++,Accepted,483 ms,5200 KB,2017-10-17 14:24:00
31467360,Oct/18/2017 06:18,drrrzdk,876F - High Cry,GNU C++11,Accepted,187 ms,16800 KB,2017-10-18 06:18:00
40248640,Jul/13/2018 07:01,CalvinJin,875D - High Cry,GNU C++17,Accepted,124 ms,3100 KB,2018-07-13 07:01:00
31428179,Oct/16/2017 20:47,devanshg27,876F - High Cry,GNU C++14,Accepted,795 ms,24000 KB,2017-10-16 20:47:00
63807892,Oct/30/2019 16:13,runfeng1998,875D - High Cry,GNU C++17,Accepted,280 ms,62000 KB,2019-10-30 16:13:00
31666633,Oct/24/2017 05:17,dut201292472,875D - High Cry,GNU C++14,Accepted,62 ms,5500 KB,2017-10-24 05:17:00
31408810,Oct/16/2017 15:41,Zuikaku,875D - High Cry,GNU C++14,Accepted,233 ms,56600 KB,2017-10-16 15:41:00
31471647,Oct/18/2017 10:16,streek36,876F - High Cry,GNU C++11,Accepted,140 ms,53700 KB,2017-10-18 10:16:00
31434660,Oct/17/2017 02:39,Tgotp,876F - High Cry,GNU C++,Accepted,31 ms,4400 KB,2017-10-17 02:39:00
31789891,Oct/27/2017 12:21,vaibhav711,875D - High Cry,GNU C++14,Accepted,390 ms,6000 KB,2017-10-27 12:21:00
31434629,Oct/17/2017 02:36,Tgotp,876F - High Cry,GNU C++,Accepted,31 ms,4400 KB,2017-10-17 02:36:00
31406527,Oct/16/2017 15:25,adamant,875D - High Cry,GNU C++14,Accepted,577 ms,17600 KB,2017-10-16 15:25:00
55336495,Jun/09/2019 17:06,BRCode,876F - High Cry,GNU C++14,Accepted,514 ms,17400 KB,2019-06-09 17:06:00
31451169,Oct/17/2017 16:55,Twishkle.Aevdark#,875D - High Cry,GNU C++14,Accepted,202 ms,12200 KB,2017-10-17 16:55:00
31406281,Oct/16/2017 15:23,fengyecong,876F - High Cry,GNU C++14,Accepted,233 ms,117700 KB,2017-10-16 15:23:00
31401699,Oct/16/2017 14:55,CQzhangyu,876F - High Cry,GNU C++11,Accepted,217 ms,64700 KB,2017-10-16 14:55:00
31403500,Oct/16/2017 15:05,ko_osaga,875D - High Cry,GNU C++14,Accepted,187 ms,26900 KB,2017-10-16 15:05:00
31447669,Oct/17/2017 15:13,BBuf,876F - High Cry,GNU C++14,Accepted,249 ms,11500 KB,2017-10-17 15:13:00
31415425,Oct/16/2017 17:54,codingisfun,876F - High Cry,GNU C++14,Accepted,78 ms,6000 KB,2017-10-16 17:54:00
31436718,Oct/17/2017 05:35,Mys_C_K,875D - High Cry,GNU C++,Accepted,46 ms,6000 KB,2017-10-17 05:35:00
72070512,Feb/29/2020 04:36,geneanlyz#,875D - High Cry,GNU C++11,Accepted,607 ms,43700 KB,2020-02-29 04:36:00
72237862,Mar/02/2020 12:21,geneanlyz,875D - High Cry,GNU C++11,Accepted,607 ms,43700 KB,2020-03-02 12:21:00
31414583,Oct/16/2017 17:36,zxyer,875D - High Cry,GNU C++,Accepted,62 ms,6000 KB,2017-10-16 17:36:00
31666746,Oct/24/2017 05:24,dut201292472,875D - High Cry,GNU C++14,Accepted,62 ms,5500 KB,2017-10-24 05:24:00
31465328,Oct/18/2017 02:48,Maruchan,876F - High Cry,GNU C++14,Accepted,249 ms,11500 KB,2017-10-18 02:48:00
31515180,Oct/19/2017 20:24,vjudge2,876F - High Cry,MS C++,Accepted,358 ms,10700 KB,2017-10-19 20:24:00
31400721,Oct/16/2017 14:51,guille,875D - High Cry,GNU C++,Accepted,592 ms,8300 KB,2017-10-16 14:51:00
63115134,Oct/22/2019 12:04,RNS_MHB,875D - High Cry,GNU C++11,Accepted,311 ms,55800 KB,2019-10-22 12:04:00
73867927,Mar/21/2020 11:45,CaiJiZXY,875D - High Cry,GNU C++11,Accepted,701 ms,43800 KB,2020-03-21 11:45:00
31434756,Oct/17/2017 02:51,kczno1,875D - High Cry,GNU C++11,Accepted,514 ms,9100 KB,2017-10-17 02:51:00
31529781,Oct/20/2017 13:41,Mithrandir_14,875D - High Cry,GNU C++14,Accepted,78 ms,6700 KB,2017-10-20 13:41:00
31407074,Oct/16/2017 15:29,yjc9696,875D - High Cry,GNU C++,Accepted,139 ms,62000 KB,2017-10-16 15:29:00
66191935,Dec/02/2019 19:47,KevinWan,875D - High Cry,GNU C++17,Accepted,108 ms,6900 KB,2019-12-02 19:47:00
