12691645,Aug/25/2015 08:08,vjudge5,359D - Pair of Numbers,GNU C++11,Accepted,124 ms,2400 KB,2015-08-25 08:08:00
16679703,Mar/12/2016 21:54,Silence95,359D - Pair of Numbers,GNU C++11,Accepted,748 ms,7000 KB,2016-03-12 21:54:00
70744470,Feb/10/2020 19:57,div24ever,359D - Pair of Numbers,GNU C++14,Accepted,1496 ms,124200 KB,2020-02-10 19:57:00
5013306,Nov/06/2013 19:31,xiangel,359D - Pair of Numbers,GNU C++,Accepted,109 ms,2400 KB,2013-11-06 19:31:00
25896058,Mar/29/2017 15:59,vjudge4,359D - Pair of Numbers,GNU C++,Accepted,124 ms,4400 KB,2017-03-29 15:59:00
32100653,Nov/06/2017 19:26,Laura_Cornei,359D - Pair of Numbers,GNU C++14,Accepted,483 ms,2400 KB,2017-11-06 19:26:00
7072755,Jul/13/2014 11:42,Jming_,359D - Pair of Numbers,GNU C++,Accepted,124 ms,2400 KB,2014-07-13 11:42:00
4975224,Nov/03/2013 06:56,jeemy,359D - Pair of Numbers,MS C++,Accepted,124 ms,2200 KB,2013-11-03 06:56:00
4982936,Nov/04/2013 04:49,lyre_rabbit,359D - Pair of Numbers,MS C++,Accepted,124 ms,2200 KB,2013-11-04 04:49:00
27327965,May/25/2017 05:05,384226056,359D - Pair of Numbers,GNU C++14,Accepted,124 ms,2400 KB,2017-05-25 05:05:00
4973699,Nov/02/2013 23:46,obag,359D - Pair of Numbers,GNU C++,Accepted,296 ms,13100 KB,2013-11-02 23:46:00
5020774,Nov/07/2013 11:34,Memphis,359D - Pair of Numbers,GNU C++,Accepted,109 ms,3500 KB,2013-11-07 11:34:00
25005962,Feb/25/2017 10:47,vjudge2,359D - Pair of Numbers,GNU C++,Accepted,124 ms,4400 KB,2017-02-25 10:47:00
6396333,Apr/17/2014 23:07,frcepeda,359D - Pair of Numbers,GNU C,Accepted,389 ms,4700 KB,2014-04-17 23:07:00
43370189,Sep/24/2018 17:10,vjudge3,359D - Pair of Numbers,GNU C++11,Accepted,124 ms,4300 KB,2018-09-24 17:10:00
14331483,Nov/18/2015 22:17,damn7,359D - Pair of Numbers,GNU C++,Accepted,702 ms,4300 KB,2015-11-18 22:17:00
35592479,Feb/23/2018 12:27,CaNDidaTE_FaSTer,359D - Pair of Numbers,GNU C++,Accepted,717 ms,12100 KB,2018-02-23 12:27:00
5028915,Nov/08/2013 15:41,lhidly,359D - Pair of Numbers,GNU C++,Accepted,124 ms,24600 KB,2013-11-08 15:41:00
5686232,Jan/13/2014 23:12,kevi793,359D - Pair of Numbers,GNU C++,Accepted,109 ms,2300 KB,2014-01-13 23:12:00
78484988,Apr/29/2020 17:17,S7a2a7d,359D - Pair of Numbers,GNU C++17,Accepted,436 ms,4500 KB,2020-04-29 17:17:00
19604660,Aug/03/2016 22:46,mjhun,359D - Pair of Numbers,GNU C++11,Accepted,139 ms,9700 KB,2016-08-03 22:46:00
19023842,Jul/11/2016 10:30,norhh,359D - Pair of Numbers,GNU C++11,Accepted,842 ms,32900 KB,2016-07-11 10:30:00
5132657,Nov/17/2013 22:01,YakutovDmitriy,359D - Pair of Numbers,GNU C++,Accepted,124 ms,4800 KB,2013-11-17 22:01:00
12579339,Aug/17/2015 21:22,vjudge5,359D - Pair of Numbers,GNU C++,Accepted,701 ms,4800 KB,2015-08-17 21:22:00
4966222,Nov/02/2013 13:34,* xiaotao,359D - Pair of Numbers,GNU C++,Accepted,124 ms,3800 KB,2013-11-02 13:34:00
4987332,Nov/04/2013 19:56,sola_93,359D - Pair of Numbers,GNU C++,Accepted,234 ms,2400 KB,2013-11-04 19:56:00
5033413,Nov/09/2013 07:38,SYSU_WX,359D - Pair of Numbers,GNU C++,Accepted,109 ms,2400 KB,2013-11-09 07:38:00
34567304,Jan/26/2018 09:53,vjudge3,359D - Pair of Numbers,GNU C++,Accepted,124 ms,4200 KB,2018-01-26 09:53:00
4979541,Nov/03/2013 17:32,Eurce,359D - Pair of Numbers,GNU C++,Accepted,124 ms,4700 KB,2013-11-03 17:32:00
12579308,Aug/17/2015 21:20,Mohammad.Sj,359D - Pair of Numbers,GNU C++11,Accepted,701 ms,4800 KB,2015-08-17 21:20:00
34567349,Jan/26/2018 09:54,liluoyu,359D - Pair of Numbers,GNU C++11,Accepted,124 ms,4200 KB,2018-01-26 09:54:00
40650621,Jul/23/2018 00:00,silversRayleigh,359D - Pair of Numbers,GNU C++11,Accepted,764 ms,10600 KB,2018-07-23 00:00:00
29906587,Aug/30/2017 05:58,vjudge2,359D - Pair of Numbers,GNU C++,Accepted,124 ms,4200 KB,2017-08-30 05:58:00
