13915477,Oct/28/2015 16:28,tamunakj,22D - Segments,GNU C++,Accepted,15 ms,0 KB,2015-10-28 16:28:00
18579435,Jun/18/2016 15:52,Dyian,22D - Segments,GNU C++,Accepted,15 ms,0 KB,2016-06-18 15:52:00
6986326,Jun/30/2014 17:18,vjudge2,22D - Segments,GNU C++,Accepted,30 ms,0 KB,2014-06-30 17:18:00
12884515,Sep/07/2015 15:58,libe,22D - Segments,GNU C++11,Accepted,31 ms,0 KB,2015-09-07 15:58:00
4751390,Oct/12/2013 03:09,pimentxenha,22D - Segments,GNU C++,Accepted,60 ms,0 KB,2013-10-12 03:09:00
17410704,Apr/20/2016 22:22,YakutovDmitriy,22D - Segments,GNU C++11,Accepted,15 ms,2200 KB,2016-04-20 22:22:00
3858060,Jun/11/2013 19:55,MarioYC#,22D - Segments,GNU C++,Accepted,15 ms,0 KB,2013-06-11 19:55:00
65669597,Nov/24/2019 18:22,vjudge3,22D - Segments,Clang++17 Diagnostics,Accepted,46 ms,0 KB,2019-11-24 18:22:00
2171470,Sep/15/2012 12:40,vjudge4,22D - Segments,GNU C++,Accepted,31 ms,1500 KB,2012-09-15 12:40:00
14093032,Nov/05/2015 19:47,rmargve,22D - Segments,GNU C++,Accepted,15 ms,0 KB,2015-11-05 19:47:00
17274695,Apr/11/2016 10:43,Ahriman,22D - Segments,FPC,Accepted,15 ms,100 KB,2016-04-11 10:43:00
798352,Oct/27/2011 13:11,Untitled,22D - Segments,GNU C++,Accepted,30 ms,1400 KB,2011-10-27 13:11:00
949640,Dec/10/2011 16:12,kirill,22D - Segments,MS C++,Accepted,30 ms,1400 KB,2011-12-10 16:12:00
17274699,Apr/11/2016 10:44,Ahriman,22D - Segments,FPC,Accepted,30 ms,100 KB,2016-04-11 10:44:00
18543917,Jun/17/2016 16:46,YousefKhaled,22D - Segments,GNU C++11,Accepted,31 ms,0 KB,2016-06-17 16:46:00
510878,Jun/26/2011 00:24,aan93,22D - Segments,MS C++,Accepted,30 ms,1400 KB,2011-06-26 00:24:00
78966233,May/04/2020 15:26,alex.liu,22D - Segments,GNU C++11,Accepted,46 ms,0 KB,2020-05-04 15:26:00
1355749,Mar/13/2012 23:03,Mark_tven,22D - Segments,GNU C++,Accepted,30 ms,1400 KB,2012-03-13 23:03:00
75529987,Apr/05/2020 05:57,ForeverBrick,22D - Segments,GNU C++17,Accepted,31 ms,300 KB,2020-04-05 05:57:00
