16281217,Feb/22/2016 20:21,jinzhao,601B - Lipshitz Sequence,GNU C++11,Accepted,77 ms,1000 KB,2016-02-22 20:21:00
24819957,Feb/20/2017 13:43,Shying,602D - Lipshitz Sequence,GNU C++,Accepted,78 ms,4500 KB,2017-02-20 13:43:00
49914747,Feb/14/2019 18:55,ivan100sic,602D - Lipshitz Sequence,GNU C++17,Accepted,78 ms,1600 KB,2019-02-14 18:55:00
14462929,Nov/25/2015 08:14,chm517,601B - Lipshitz Sequence,GNU C++,Accepted,202 ms,4400 KB,2015-11-25 08:14:00
71416105,Feb/19/2020 08:40,vjudge2,602D - Lipshitz Sequence,GNU C++11,Accepted,46 ms,2000 KB,2020-02-19 08:40:00
14452168,Nov/24/2015 20:43,EasyRed29,602D - Lipshitz Sequence,GNU C++11,Accepted,187 ms,4400 KB,2015-11-24 20:43:00
14450645,Nov/24/2015 20:28,Glaceon08,601B - Lipshitz Sequence,GNU C++,Accepted,78 ms,2000 KB,2015-11-24 20:28:00
14452726,Nov/24/2015 20:49,SeyedParsa,601B - Lipshitz Sequence,GNU C++11,Accepted,202 ms,1500 KB,2015-11-24 20:49:00
72990487,Mar/12/2020 03:43,saza,602D - Lipshitz Sequence,GNU C++11,Accepted,46 ms,1400 KB,2020-03-12 03:43:00
14454537,Nov/24/2015 21:08,cayun,602D - Lipshitz Sequence,GNU C++,Accepted,93 ms,2200 KB,2015-11-24 21:08:00
14486924,Nov/26/2015 05:56,dut200901102,601B - Lipshitz Sequence,GNU C++11,Accepted,93 ms,1200 KB,2015-11-26 05:56:00
14496908,Nov/26/2015 20:48,wshwsh12,601B - Lipshitz Sequence,GNU C++11,Accepted,93 ms,1600 KB,2015-11-26 20:48:00
14458256,Nov/24/2015 23:01,please_delete_account,601B - Lipshitz Sequence,GNU C++11,Accepted,124 ms,3100 KB,2015-11-24 23:01:00
14495407,Nov/26/2015 18:55,MedalPluS,602D - Lipshitz Sequence,GNU C++,Accepted,62 ms,1200 KB,2015-11-26 18:55:00
41998697,Aug/23/2018 16:41,Grzmot,601B - Lipshitz Sequence,GNU C++14,Accepted,109 ms,2800 KB,2018-08-23 16:41:00
19547774,Aug/01/2016 03:39,bibibibi,602D - Lipshitz Sequence,GNU C++11,Accepted,171 ms,2700 KB,2016-08-01 03:39:00
19722991,Aug/08/2016 10:50,happycat,602D - Lipshitz Sequence,GNU C++11,Accepted,187 ms,4800 KB,2016-08-08 10:50:00
