45447027,Nov/08/2018 16:56,ductuanlhp,939D - Love Rescue,GNU C++14,Accepted,31 ms,500 KB,2018-11-08 16:56:00
48185354,Jan/10/2019 17:42,wangyx,939D - Love Rescue,GNU C++11,Accepted,30 ms,3400 KB,2019-01-10 17:42:00
35412507,Feb/17/2018 14:49,MRITuhin,939D - Love Rescue,GNU C++11,Accepted,46 ms,2400 KB,2018-02-17 14:49:00
35440035,Feb/18/2018 11:14,lpycl,939D - Love Rescue,GNU C++,Accepted,46 ms,2400 KB,2018-02-18 11:14:00
54279163,May/17/2019 15:34,hsfzLZH1,939D - Love Rescue,GNU C++17,Accepted,31 ms,600 KB,2019-05-17 15:34:00
35709573,Feb/25/2018 22:14,IAmKiri#,939D - Love Rescue,GNU C++14,Accepted,46 ms,2600 KB,2018-02-25 22:14:00
45445291,Nov/08/2018 16:05,luogu_bot2,939D - Love Rescue,GNU C++11,Accepted,46 ms,8000 KB,2018-11-08 16:05:00
72516759,Mar/05/2020 16:57,wandisty,939D - Love Rescue,GNU C++11,Accepted,46 ms,400 KB,2020-03-05 16:57:00
35408764,Feb/17/2018 14:27,vadi,939D - Love Rescue,GNU C++,Accepted,46 ms,2400 KB,2018-02-17 14:27:00
35414575,Feb/17/2018 15:00,kverti98,939D - Love Rescue,GNU C++,Accepted,15 ms,2400 KB,2018-02-17 15:00:00
35414663,Feb/17/2018 15:00,inishchith.,939D - Love Rescue,PyPy 2,Accepted,93 ms,22000 KB,2018-02-17 15:00:00
35402545,Feb/17/2018 13:55,OmarBazaraa,939D - Love Rescue,GNU C++14,Accepted,15 ms,2000 KB,2018-02-17 13:55:00
35406203,Feb/17/2018 14:13,Turkey,939D - Love Rescue,GNU C++14,Accepted,31 ms,2000 KB,2018-02-17 14:13:00
45280058,Nov/04/2018 16:14,kririae,939D - Love Rescue,GNU C++17,Accepted,31 ms,600 KB,2018-11-04 16:14:00
35418816,Feb/17/2018 17:06,CPX99,939D - Love Rescue,GNU C++14,Accepted,46 ms,2200 KB,2018-02-17 17:06:00
51448216,Mar/18/2019 16:29,blacklogic,939D - Love Rescue,GNU C++14,Accepted,62 ms,500 KB,2019-03-18 16:29:00
35403325,Feb/17/2018 13:58,142857,939D - Love Rescue,GNU C++,Accepted,31 ms,2200 KB,2018-02-17 13:58:00
35408386,Feb/17/2018 14:25,Jester,939D - Love Rescue,GNU C++14,Accepted,15 ms,2200 KB,2018-02-17 14:25:00
67195551,Dec/19/2019 11:53,utkarsh9,939D - Love Rescue,GNU C++14,Accepted,62 ms,400 KB,2019-12-19 11:53:00
35718454,Feb/26/2018 06:13,vjudge3,939D - Love Rescue,GNU C++,Accepted,30 ms,2000 KB,2018-02-26 06:13:00
35405270,Feb/17/2018 14:08,fatfatton,939D - Love Rescue,GNU C++,Accepted,31 ms,3000 KB,2018-02-17 14:08:00
35419682,Feb/17/2018 17:20,icube,939D - Love Rescue,GNU C++11,Accepted,15 ms,2500 KB,2018-02-17 17:20:00
69242892,Jan/21/2020 15:01,Adol_lv_1,939D - Love Rescue,GNU C++11,Accepted,31 ms,0 KB,2020-01-21 15:01:00
69635232,Jan/27/2020 21:21,kirilprogerr,939D - Love Rescue,GNU C++17,Accepted,61 ms,7800 KB,2020-01-27 21:21:00
35424905,Feb/17/2018 19:43,Kalam#,939D - Love Rescue,GNU C++14,Accepted,46 ms,2200 KB,2018-02-17 19:43:00
35429054,Feb/17/2018 22:09,and800,939D - Love Rescue,Python 3,Accepted,109 ms,6000 KB,2018-02-17 22:09:00
35732999,Feb/26/2018 16:17,vjudge3,939D - Love Rescue,GNU C++,Accepted,46 ms,2300 KB,2018-02-26 16:17:00
45280185,Nov/04/2018 16:17,luogu_bot3,939D - Love Rescue,GNU C++17,Accepted,30 ms,600 KB,2018-11-04 16:17:00
59645446,Aug/29/2019 08:27,maitreerawatts,939D - Love Rescue,Python 3,Accepted,264 ms,600 KB,2019-08-29 08:27:00
35518226,Feb/20/2018 13:28,rivenhk,939D - Love Rescue,GNU C++14,Accepted,46 ms,2200 KB,2018-02-20 13:28:00
66817490,Dec/14/2019 09:20,SMani24,939D - Love Rescue,GNU C++17,Accepted,61 ms,500 KB,2019-12-14 09:20:00
35536366,Feb/21/2018 05:27,CocaCola1,939D - Love Rescue,GNU C++14,Accepted,46 ms,2200 KB,2018-02-21 05:27:00
37857504,May/03/2018 12:07,vjudge3,939D - Love Rescue,GNU C++,Accepted,46 ms,4200 KB,2018-05-03 12:07:00
60495394,Sep/13/2019 19:08,OTTFF,939D - Love Rescue,GNU C++14,Accepted,31 ms,200 KB,2019-09-13 19:08:00
46642345,Dec/05/2018 13:27,LightningUZ,939D - Love Rescue,GNU C++11,Accepted,46 ms,400 KB,2018-12-05 13:27:00
35423714,Feb/17/2018 19:05,DASmirnov,939D - Love Rescue,Python 3,Accepted,234 ms,6000 KB,2018-02-17 19:05:00
38577764,May/24/2018 08:57,menghuanali,939D - Love Rescue,GNU C++11,Accepted,46 ms,200 KB,2018-05-24 08:57:00
35421243,Feb/17/2018 17:53,Mitsuhaw,939D - Love Rescue,GNU C++11,Accepted,15 ms,2400 KB,2018-02-17 17:53:00
35445762,Feb/18/2018 15:35,xurz97,939D - Love Rescue,GNU C++11,Accepted,15 ms,3000 KB,2018-02-18 15:35:00
35476357,Feb/19/2018 19:24,wty2003728,939D - Love Rescue,GNU C++11,Accepted,15 ms,2400 KB,2018-02-19 19:24:00
45414161,Nov/07/2018 16:21,Jacklovethree,939D - Love Rescue,GNU C++11,Accepted,30 ms,400 KB,2018-11-07 16:21:00
52364176,Apr/06/2019 01:28,vjudge1,939D - Love Rescue,Java 8,Accepted,343 ms,0 KB,2019-04-06 01:28:00
35403117,Feb/17/2018 13:57,wjy666,939D - Love Rescue,GNU C++11,Accepted,15 ms,2200 KB,2018-02-17 13:57:00
35513264,Feb/20/2018 09:41,dragonslayerintraining,939D - Love Rescue,GNU C++11,Accepted,46 ms,2400 KB,2018-02-20 09:41:00
