12698686,Aug/25/2015 20:17,aranjuda,32C - Flea,GNU C++11,Accepted,62 ms,0 KB,2015-08-25 20:17:00
61563443,Sep/30/2019 19:21,AvinashKartik,32C - Flea,PyPy 3,Accepted,310 ms,0 KB,2019-09-30 19:21:00
139457,Oct/02/2010 14:56,niyaznigmatul,32C - Flea,Delphi,Accepted,30 ms,800 KB,2010-10-02 14:56:00
261726,Jan/25/2011 17:21,A.K.Goharshady,32C - Flea,Python 2,Accepted,80 ms,2700 KB,2011-01-25 17:21:00
63368209,Oct/25/2019 11:20,luogu_bot5,32C - Flea,GNU C++11,Accepted,62 ms,0 KB,2019-10-25 11:20:00
141238,Oct/13/2010 17:13,ulnyau,32C - Flea,MS C++,Accepted,30 ms,1300 KB,2010-10-13 17:13:00
19774580,Aug/11/2016 04:00,dragonslayerintraining,32C - Flea,GNU C++,Accepted,30 ms,2000 KB,2016-08-11 04:00:00
51995764,Mar/30/2019 04:45,luogu_bot2,32C - Flea,GNU C++11,Accepted,62 ms,0 KB,2019-03-30 04:45:00
59599359,Aug/28/2019 07:51,luogu_bot4,32C - Flea,GNU C++11,Accepted,62 ms,0 KB,2019-08-28 07:51:00
5126641,Nov/16/2013 20:14,toilanvd_HSGS#,32C - Flea,GNU C++,Accepted,30 ms,0 KB,2013-11-16 20:14:00
22929174,Dec/13/2016 17:59,john_marston,32C - Flea,GNU C++,Accepted,30 ms,0 KB,2016-12-13 17:59:00
29142165,Aug/03/2017 04:00,ojtrans1,32C - Flea,GNU C++,Accepted,30 ms,1900 KB,2017-08-03 04:00:00
58883899,Aug/16/2019 03:25,luogu_bot5,32C - Flea,GNU C++11,Accepted,62 ms,0 KB,2019-08-16 03:25:00
64374080,Nov/06/2019 18:09,luogu_bot1,32C - Flea,GNU C++11,Accepted,62 ms,0 KB,2019-11-06 18:09:00
140576,Oct/05/2010 14:23,ankulgarg,32C - Flea,GNU C++,Accepted,30 ms,1300 KB,2010-10-05 14:23:00
25893829,Mar/29/2017 14:16,Meowl,32C - Flea,GNU C++11,Accepted,30 ms,2000 KB,2017-03-29 14:16:00
35593322,Feb/23/2018 13:08,vjudge5,32C - Flea,GNU C++,Accepted,30 ms,2000 KB,2018-02-23 13:08:00
