69085222,Jan/19/2020 11:02,ibex7,16C - Monitor,GNU C++14,Accepted,46 ms,0 KB,2020-01-19 11:02:00
37287876,Apr/13/2018 17:20,Siyuan,16C - Monitor,GNU C++,Accepted,31 ms,3300 KB,2018-04-13 17:20:00
21400943,Oct/13/2016 13:55,754986421653,16C - Monitor,GNU C++,Accepted,15 ms,2000 KB,2016-10-13 13:55:00
21991943,Nov/02/2016 16:17,Roohi,16C - Monitor,GNU C++11,Accepted,15 ms,0 KB,2016-11-02 16:17:00
46464164,Dec/02/2018 03:01,ayaHamdi,16C - Monitor,GNU C++11,Accepted,31 ms,0 KB,2018-12-02 03:01:00
70511,Jun/03/2010 17:38,insejniasty,16C - Monitor,Python 2,Accepted,60 ms,2700 KB,2010-06-03 17:38:00
35649345,Feb/24/2018 17:49,TuyetMaiPhung,16C - Monitor,GNU C++14,Accepted,15 ms,2000 KB,2018-02-24 17:49:00
53027519,Apr/19/2019 23:12,stephano,16C - Monitor,GNU C++17,Accepted,15 ms,0 KB,2019-04-19 23:12:00
7854962,Sep/19/2014 18:56,CST14-YUFEI,16C - Monitor,GNU C++,Accepted,31 ms,0 KB,2014-09-19 18:56:00
27978998,Jun/23/2017 10:13,Anaar,16C - Monitor,GNU C++11,Accepted,15 ms,2100 KB,2017-06-23 10:13:00
53014984,Apr/19/2019 16:47,Mohamad_AboDan,16C - Monitor,GNU C++11,Accepted,31 ms,0 KB,2019-04-19 16:47:00
57837984,Jul/27/2019 11:16,shmozumder2,16C - Monitor,GNU C++14,Accepted,30 ms,0 KB,2019-07-27 11:16:00
27660043,Jun/08/2017 02:31,Bassel,16C - Monitor,GNU C++14,Accepted,15 ms,0 KB,2017-06-08 02:31:00
68110947,Jan/03/2020 12:30,kniazevgeny,16C - Monitor,GNU C++17,Accepted,30 ms,0 KB,2020-01-03 12:30:00
6979619,Jun/29/2014 14:35,htbb#,16C - Monitor,GNU C++,Accepted,30 ms,0 KB,2014-06-29 14:35:00
21322364,Oct/09/2016 19:09,mybloodtop,16C - Monitor,GNU C++14,Accepted,15 ms,1900 KB,2016-10-09 19:09:00
29820212,Aug/27/2017 09:35,adi.codeforce,16C - Monitor,GNU C++14,Accepted,31 ms,0 KB,2017-08-27 09:35:00
