33543441,Dec/23/2017 17:19,dat13shj,907A - Masha and Bears,Python 3,Accepted,62 ms,5400 KB,2017-12-23 17:19:00
33591803,Dec/24/2017 14:34,vjudge1,907A - Masha and Bears,GNU C++11,Accepted,15 ms,2000 KB,2017-12-24 14:34:00
34119990,Jan/13/2018 09:14,Dysania,907A - Masha and Bears,GNU C++,Accepted,15 ms,2000 KB,2018-01-13 09:14:00
35763890,Feb/27/2018 16:36,Raufur_7770,907A - Masha and Bears,GNU C++,Accepted,15 ms,2000 KB,2018-02-27 16:36:00
38719878,May/29/2018 16:31,zappy,907A - Masha and Bears,Python 3,Accepted,124 ms,900 KB,2018-05-29 16:31:00
33544590,Dec/23/2017 17:22,myworld,907A - Masha and Bears,GNU C++14,Accepted,15 ms,1900 KB,2017-12-23 17:22:00
33549825,Dec/23/2017 17:35,C2B10H12,907A - Masha and Bears,Python 3,Accepted,62 ms,5500 KB,2017-12-23 17:35:00
34563548,Jan/26/2018 06:49,agamanan96,907A - Masha and Bears,GNU C++14,Accepted,15 ms,1900 KB,2018-01-26 06:49:00
35139719,Feb/11/2018 03:03,AATEST,907A - Masha and Bears,GNU C,Accepted,30 ms,1800 KB,2018-02-11 03:03:00
35139723,Feb/11/2018 03:03,0xA,907A - Masha and Bears,GNU C11,Accepted,15 ms,1800 KB,2018-02-11 03:03:00
69499191,Jan/25/2020 08:50,BelGuTei.B,907A - Masha and Bears,GNU C++17,Accepted,30 ms,0 KB,2020-01-25 08:50:00
33748342,Dec/29/2017 04:49,Pneuis,907A - Masha and Bears,GNU C++14,Accepted,30 ms,1900 KB,2017-12-29 04:49:00
33595457,Dec/24/2017 17:26,Yoshiko,907A - Masha and Bears,GNU C++11,Accepted,15 ms,2000 KB,2017-12-24 17:26:00
33566576,Dec/23/2017 18:47,Robsob,907A - Masha and Bears,Python 3,Accepted,61 ms,5500 KB,2017-12-23 18:47:00
34065352,Jan/10/2018 11:58,vjudge3,907A - Masha and Bears,GNU C++,Accepted,15 ms,1800 KB,2018-01-10 11:58:00
60510736,Sep/14/2019 05:43,is_mail,907A - Masha and Bears,GNU C++17,Accepted,31 ms,0 KB,2019-09-14 05:43:00
33559049,Dec/23/2017 18:10,PAG,907A - Masha and Bears,PascalABC.NET,Accepted,31 ms,12900 KB,2017-12-23 18:10:00
34064105,Jan/10/2018 10:40,vjudge1,907A - Masha and Bears,GNU C++,Accepted,15 ms,1800 KB,2018-01-10 10:40:00
33648337,Dec/26/2017 16:48,adzo261,907A - Masha and Bears,GNU C++14,Accepted,15 ms,1900 KB,2017-12-26 16:48:00
