34666,Apr/08/2010 20:08,adavydow,8A - Train and Peter,Ruby,Accepted,90 ms,4100 KB,2010-04-08 20:08:00
52027918,Mar/30/2019 18:57,darshak_2636,8A - Train and Peter,GNU C++17,Accepted,62 ms,300 KB,2019-03-30 18:57:00
49140426,Jan/29/2019 12:55,Bonoy,8A - Train and Peter,GNU C++11,Accepted,62 ms,200 KB,2019-01-29 12:55:00
4267018,Aug/11/2013 21:55,Basement_Cat,8A - Train and Peter,Perl,Accepted,62 ms,300 KB,2013-08-11 21:55:00
9438123,Jan/15/2015 20:52,shadowxuhao,8A - Train and Peter,Python 3,Accepted,154 ms,300 KB,2015-01-15 20:52:00
74557406,Mar/27/2020 15:33,konstokar,8A - Train and Peter,PyPy 3,Accepted,310 ms,700 KB,2020-03-27 15:33:00
13528011,Oct/10/2015 14:53,sugar,8A - Train and Peter,GNU C++11,Accepted,62 ms,300 KB,2015-10-10 14:53:00
8210674,Oct/12/2014 22:26,yuxiang.li,8A - Train and Peter,Python 3,Accepted,186 ms,300 KB,2014-10-12 22:26:00
73895741,Mar/21/2020 17:32,ntanjila,8A - Train and Peter,GNU C++14,Accepted,92 ms,300 KB,2020-03-21 17:32:00
3961360,Jun/25/2013 23:17,Re_cursive,8A - Train and Peter,Python 2,Accepted,46 ms,300 KB,2013-06-25 23:17:00
49970098,Feb/16/2019 04:09,Lee2004,8A - Train and Peter,GNU C++11,Accepted,92 ms,300 KB,2019-02-16 04:09:00
79256018,May/07/2020 12:57,justAmanGupta,8A - Train and Peter,Python 3,Accepted,218 ms,7200 KB,2020-05-07 12:57:00
35053978,Feb/08/2018 13:21,zyq950104,8A - Train and Peter,Python 3,Accepted,186 ms,6200 KB,2018-02-08 13:21:00
49971628,Feb/16/2019 05:42,ccbb0530,8A - Train and Peter,GNU C++11,Accepted,92 ms,300 KB,2019-02-16 05:42:00
74037108,Mar/23/2020 15:28,rishi7078,8A - Train and Peter,GNU C++14,Accepted,92 ms,300 KB,2020-03-23 15:28:00
38297,Apr/20/2010 16:22,yury.smykalov,8A - Train and Peter,Python 2,Accepted,60 ms,3000 KB,2010-04-20 16:22:00
19360320,Jul/23/2016 11:35,SyntexError,8A - Train and Peter,Python 2,Accepted,122 ms,400 KB,2016-07-23 11:35:00
10036854,Feb/26/2015 22:31,9mithun9,8A - Train and Peter,GNU C++,Accepted,60 ms,0 KB,2015-02-26 22:31:00
27953958,Jun/22/2017 02:11,PauloCS,8A - Train and Peter,GNU C++14,Accepted,60 ms,2000 KB,2017-06-22 02:11:00
30091463,Sep/05/2017 08:43,shivani_karwa,8A - Train and Peter,GNU C++14,Accepted,30 ms,100 KB,2017-09-05 08:43:00
74702797,Mar/29/2020 10:15,uddeshya.singh,8A - Train and Peter,Python 3,Accepted,218 ms,600 KB,2020-03-29 10:15:00
3655013,Apr/30/2013 18:51,136873448,8A - Train and Peter,GNU C++,Accepted,31 ms,300 KB,2013-04-30 18:51:00
35171515,Feb/12/2018 10:35,LJFan,8A - Train and Peter,GNU C++11,Accepted,60 ms,2100 KB,2018-02-12 10:35:00
37043887,Apr/07/2018 11:37,lil_T,8A - Train and Peter,GNU C++,Accepted,62 ms,3700 KB,2018-04-07 11:37:00
434222,May/06/2011 17:55,phamducgiam,8A - Train and Peter,MS C++,Accepted,30 ms,1500 KB,2011-05-06 17:55:00
24613363,Feb/12/2017 20:04,kumarujjwal1998,8A - Train and Peter,GNU C++,Accepted,62 ms,2100 KB,2017-02-12 20:04:00
30700571,Sep/25/2017 13:13,alexanderanchishkin,8A - Train and Peter,PyPy 3,Accepted,218 ms,2100 KB,2017-09-25 13:13:00
73132822,Mar/13/2020 12:37,AMMMM,8A - Train and Peter,GNU C++14,Accepted,92 ms,300 KB,2020-03-13 12:37:00
35137215,Feb/10/2018 23:49,hmehta,8A - Train and Peter,GNU C++11,Accepted,62 ms,2300 KB,2018-02-10 23:49:00
49372361,Feb/02/2019 20:58,devanshagrawal,8A - Train and Peter,GNU C++14,Accepted,92 ms,300 KB,2019-02-02 20:58:00
49537409,Feb/06/2019 19:38,aanush,8A - Train and Peter,GNU C++17,Accepted,92 ms,500 KB,2019-02-06 19:38:00
55418693,Jun/11/2019 07:50,RANssqq2018,8A - Train and Peter,GNU C++17,Accepted,92 ms,300 KB,2019-06-11 07:50:00
68864130,Jan/15/2020 16:03,mahestro,8A - Train and Peter,GNU C++11,Accepted,92 ms,300 KB,2020-01-15 16:03:00
45916750,Nov/18/2018 17:22,Skybytskyi.Nikita,8A - Train and Peter,Python 3,Accepted,310 ms,300 KB,2018-11-18 17:22:00
1530834,Apr/13/2012 18:26,OlegMishchuk,8A - Train and Peter,Delphi,Accepted,80 ms,1200 KB,2012-04-13 18:26:00
11403479,Jun/03/2015 18:16,xxxyyyzzz,8A - Train and Peter,GNU C++11,Accepted,60 ms,100 KB,2015-06-03 18:16:00
34537860,Jan/25/2018 09:50,Tumpa_678,8A - Train and Peter,GNU C++11,Accepted,62 ms,2300 KB,2018-01-25 09:50:00
34066732,Jan/10/2018 13:36,ekaterine2017,8A - Train and Peter,GNU C++11,Accepted,62 ms,2300 KB,2018-01-10 13:36:00
34090742,Jan/11/2018 18:16,ppgb,8A - Train and Peter,Python 3,Accepted,124 ms,5800 KB,2018-01-11 18:16:00
45678811,Nov/13/2018 17:24,AcAmer,8A - Train and Peter,GNU C++11,Accepted,92 ms,300 KB,2018-11-13 17:24:00
