52329091,Apr/05/2019 06:46,ishancosmos25,131A - cAPS lOCK,Python 3,Accepted,109 ms,0 KB,2019-04-05 06:46:00
53675389,May/02/2019 18:31,vallisri,131A - cAPS lOCK,Python 3,Accepted,109 ms,0 KB,2019-05-02 18:31:00
57113462,Jul/15/2019 21:37,Kartik_Chauhan,131A - cAPS lOCK,PyPy 3,Accepted,140 ms,0 KB,2019-07-15 21:37:00
61794302,Oct/03/2019 19:48,gharini992,131A - cAPS lOCK,Python 3,Accepted,109 ms,0 KB,2019-10-03 19:48:00
65713341,Nov/25/2019 18:21,mothily,131A - cAPS lOCK,Python 3,Accepted,109 ms,0 KB,2019-11-25 18:21:00
67635029,Dec/26/2019 09:27,agresivebdfighter,131A - cAPS lOCK,Python 3,Accepted,109 ms,0 KB,2019-12-26 09:27:00
74586728,Mar/27/2020 20:52,mamun_cseian,131A - cAPS lOCK,PyPy 3,Accepted,155 ms,0 KB,2020-03-27 20:52:00
79249797,May/07/2020 11:42,uddeshya.singh,131A - cAPS lOCK,Python 3,Accepted,109 ms,6500 KB,2020-05-07 11:42:00
1668492,May/08/2012 02:28,jmazon,131A - cAPS lOCK,Perl,Accepted,30 ms,600 KB,2012-05-08 02:28:00
48769602,Jan/23/2019 01:03,TortoiseWrath,131A - cAPS lOCK,Perl,Accepted,46 ms,0 KB,2019-01-23 01:03:00
60311960,Sep/09/2019 19:13,Rakib1602066,131A - cAPS lOCK,Python 3,Accepted,124 ms,0 KB,2019-09-09 19:13:00
61598292,Oct/01/2019 12:47,vamsi_kalyan,131A - cAPS lOCK,Python 3,Accepted,124 ms,0 KB,2019-10-01 12:47:00
12339077,Aug/04/2015 16:39,UnusedFever,131A - cAPS lOCK,Python 3,Accepted,62 ms,0 KB,2015-08-04 16:39:00
14042764,Nov/03/2015 17:08,kaykobad_reza,131A - cAPS lOCK,Python 3,Accepted,61 ms,0 KB,2015-11-03 17:08:00
24291480,Jan/31/2017 16:41,akhilmantha,131A - cAPS lOCK,Python 3,Accepted,62 ms,4500 KB,2017-01-31 16:41:00
24424927,Feb/04/2017 08:08,agrawalaman,131A - cAPS lOCK,Python 3,Accepted,62 ms,4500 KB,2017-02-04 08:08:00
30337988,Sep/14/2017 23:14,winstontsai,131A - cAPS lOCK,Python 3,Accepted,62 ms,0 KB,2017-09-14 23:14:00
33825979,Dec/31/2017 09:39,ankur.vision,131A - cAPS lOCK,Python 3,Accepted,62 ms,5400 KB,2017-12-31 09:39:00
49067285,Jan/27/2019 21:25,pranav24,131A - cAPS lOCK,Python 3,Accepted,109 ms,0 KB,2019-01-27 21:25:00
54866625,May/31/2019 09:38,Frhml1,131A - cAPS lOCK,Python 3,Accepted,124 ms,0 KB,2019-05-31 09:38:00
55011842,Jun/03/2019 13:24,siddhantray,131A - cAPS lOCK,Python 3,Accepted,109 ms,0 KB,2019-06-03 13:24:00
62161963,Oct/08/2019 21:30,Kemany,131A - cAPS lOCK,Python 3,Accepted,124 ms,0 KB,2019-10-08 21:30:00
69912398,Jan/31/2020 18:46,satwik0705,131A - cAPS lOCK,PyPy 3,Accepted,155 ms,0 KB,2020-01-31 18:46:00
74228202,Mar/24/2020 20:45,param3108,131A - cAPS lOCK,PyPy 3,Accepted,140 ms,0 KB,2020-03-24 20:45:00
79535236,May/09/2020 18:47,guh1,131A - cAPS lOCK,Python 3,Accepted,109 ms,6500 KB,2020-05-09 18:47:00
16422665,Feb/29/2016 11:17,Slendermen00,131A - cAPS lOCK,Python 3,Accepted,62 ms,0 KB,2016-02-29 11:17:00
16422690,Feb/29/2016 11:18,Strochik12,131A - cAPS lOCK,Python 3,Accepted,62 ms,0 KB,2016-02-29 11:18:00
17921134,May/15/2016 17:39,mamunduapece12,131A - cAPS lOCK,Python 3,Accepted,77 ms,4800 KB,2016-05-15 17:39:00
20811770,Sep/22/2016 10:23,flydzt,131A - cAPS lOCK,Python 3,Accepted,62 ms,0 KB,2016-09-22 10:23:00
25760795,Mar/24/2017 04:07,tkim03,131A - cAPS lOCK,Python 3,Accepted,62 ms,4500 KB,2017-03-24 04:07:00
